====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:18:45 CET 2026
 Modo:         CONCURRENT
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
 Operarios:    5
====================================================================

[19:18:51.532] [TORRE       ] Pista liberada por IBE-016
[19:18:51.532] [TORRE       ] RESUMING ATERRIZAJE: IBE-018
[19:18:51.532] [IBE-016     ] IBE-016: En puerta Puerta G3. Subiendo Pasajero PAX-IBE-016
[19:18:51.533] [TORRE       ] Recibida petición: BOARDING [IBE-016]
[19:18:51.533] [IBE-018     ] IBE-018: Aterrizando en Pista P1...
[19:18:51.633] [TORRE       ] IBE-011 DEPARTED.
[19:18:51.633] [TORRE       ] RESUMING DESPEGUE: IBE-013
[19:18:51.633] [IBE-013     ] IBE-013: Despegando por Pista P2...
[19:18:51.636] [IBE-018     ] IBE-018: Aterrizado. Liberando pista y yendo a Puerta G4
[19:18:51.636] [TORRE       ] Recibida petición: LANDED [IBE-018]
[19:18:51.663] [TORRE       ] ESPERA DESPEGUE: IBE-014
[19:18:51.720] [TORRE       ] Puerta liberada por IBE-015
[19:18:51.720] [IBE-017     ] IBE-017: Embarque finalizado. Solicitando salida.
[19:18:51.720] [TORRE       ] Recibida petición: BOARDED [IBE-017]
[19:18:51.721] [IBE-015     ] IBE-015: Solicitando pista para despegue...
[19:18:51.721] [TORRE       ] Recibida petición: TAKEOFF [IBE-015]
[19:18:51.735] [IBE-013     ] IBE-013: DEPARTED. Vuelo finalizado.
[19:18:51.735] [TORRE       ] Recibida petición: DEPARTED [IBE-013]
[19:18:51.832] [TORRE       ] IBE-012 DEPARTED.
[19:18:51.832] [TORRE       ] RESUMING ATERRIZAJE: IBE-020
[19:18:51.832] [IBE-020     ] IBE-020: Aterrizando en Pista P3...
[19:18:51.931] [IBE-019     ] IBE-019: Embarque finalizado. Solicitando salida.
[19:18:51.931] [TORRE       ] Recibida petición: BOARDED [IBE-019]
[19:18:51.934] [TORRE       ] Pista liberada por IBE-018
[19:18:51.934] [TORRE       ] RESUMING DESPEGUE: IBE-014
[19:18:51.934] [IBE-020     ] IBE-020: Aterrizado. Liberando pista y yendo a Puerta G5
[19:18:51.934] [TORRE       ] Recibida petición: LANDED [IBE-020]
[19:18:51.935] [IBE-018     ] IBE-018: En puerta Puerta G4. Subiendo Pasajero PAX-IBE-018
